TEMAS_TRATADOS.1,count
99999,54764
Manejo de emociones,311
Pensamiento creativo,270
Pautas de crianza,241
Comunicación asertiva,181
Autoconocimiento,139
Desarrollo integral de niños niñas y adolescentes,107
Proyecto de vida,98
Toma de decisiones,76
Empatía,72
Pensamiento crítico,56
Manejo de problemas,40
Manejo del estrés,40
Relaciones interpersonales,34
Definición de roles para la garantía y restitución de derechos,24
Manejo de problemas | Pensamiento creativo,5
Prevención de violencias,5
Cuidado de la salud,2
Pensamiento creativo | Manejo de emociones,1
Proyecto de vida | Autoconocimiento,1
