TEMA_TRATADOS,count
99999,54372
Desarrollo integral de niños niñas y adolescentes,546
Pautas de crianza,481
Manejo de emociones,231
Definición de roles para la garantía y restitución de derechos,214
Autoconocimiento,160
Comunicación asertiva,137
Pensamiento creativo,133
Proyecto de vida,62
Empatía,28
Manejo del estrés,27
Pensamiento crítico,24
Relaciones interpersonales,20
Manejo de problemas,19
Toma de decisiones,16
Prevención y reducción de riesgos y daños por consumo de SPA,2
Prevención de violencias,1
