TEMAS_TRATADOS,count
99999,54672
Manejo de emociones,342
Pautas de crianza,341
Pensamiento creativo,231
Desarrollo integral de niños niñas y adolescentes,180
Autoconocimiento,165
Comunicación asertiva,160
Proyecto de vida,89
Empatía,56
Toma de decisiones,56
Pensamiento crítico,52
Manejo de problemas,43
Relaciones interpersonales,33
Manejo del estrés,22
Definición de roles para la garantía y restitución de derechos,12
Pautas de crianza | Desarrollo integral de niños niñas y adolescentes,3
Autoconocimiento | Manejo de emociones,3
Prevención de violencias,3
Pautas de crianza | Manejo de emociones,2
"Desarrollo integral de niños niñas y adolescentes | Prevención en uso de pólvora pirotécnica, manipulación inadecuada de pólvora",2
